Ticker,Năm,1. Doanh thu bán hàng và cung cấp dịch vụ,2. Các khoản giảm trừ doanh thu,3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),4. Giá vốn hàng bán,5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),6. Doanh thu hoạt động tài chính,7. Chi phí tài chính,- Trong đó: Chi phí lãi vay,"8. Phần lãi lỗ trong công ty liên doanh, liên kết",9. Chi phí bán hàng,10. Chi phí quản lý doanh nghiệp,11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},12. Thu nhập khác,13. Chi phí khác,14. Lợi nhuận khác(40=31-32),15. Tổng lợi nhuận kế toán trước thuế(50=30+40),16. Chi phí thuế TNDN hiện hành,17. Chi phí thuế TNDN hoãn lại,18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),19. Lợi nhuận sau thuế công ty mẹ,20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,21. Lãi cơ bản trên cổ phiếu(*),22. Lãi suy giảm trên cổ phiếu (*)
ABT,2016.0,424789821139.0,2684949250.0,422104871889.0,347579382450.0,74525489439.0,22531197066.0,15792335614.0,6486162127.0,,18307790479.0,8428270448.0,54528289964.0,184109876.0,565818932.0,-381709056.0,54146580908.0,6395339419.0,80701598.0,47670539891.0,47670539891.0,,4146.0,4146.0
ABT,2017.0,385995999993.0,2300732325.0,383695267668.0,335580854557.0,48114413111.0,24278704195.0,9845524904.0,8601656724.0,,19960447532.0,9688941364.0,32898203506.0,163925263.0,20896589.0,143028674.0,33041232180.0,4730548159.0,85700764.0,28224983257.0,28224983257.0,,2453.0,2453.0
ABT,2018.0,397683541802.0,1745171475.0,395938370327.0,305667128866.0,90271241461.0,25832162258.0,10582172756.0,9219652629.0,,19776265538.0,12122481641.0,73622483784.0,203148643.0,271691404.0,-68542761.0,73553941023.0,8164603973.0,-1339644438.0,66728981488.0,66728981488.0,,5804.0,5804.0
ABT,2019.0,361150388856.0,,361150388856.0,306823296000.0,54327092856.0,33692046478.0,5546733767.0,4688755676.0,,16573414591.0,11111997610.0,54786993366.0,1097209550.0,5179481179.0,-4082271629.0,50704721737.0,4577702263.0,-2568369777.0,48695389251.0,48699609578.0,-4220327.0,4235.0,4235.0
ABT,2020.0,331313624769.0,13203558596.0,318110066173.0,280984167414.0,37125898759.0,11164165362.0,4147116425.0,2918020521.0,,17811678237.0,11063570679.0,15267698780.0,1344172313.0,246611027.0,1097561286.0,16365260066.0,1316679468.0,760527041.0,14288053557.0,13850533114.0,437520443.0,1243.0,1243.0
ABT,2021.0,343461764566.0,1814330148.0,341647434418.0,276870531229.0,64776903189.0,19862856484.0,4113160778.0,2063842024.0,,33913210227.0,11140817398.0,35472571270.0,908373965.0,2238973.0,906134992.0,36378706262.0,1737633256.0,847864212.0,33793208794.0,33793208794.0,,2939.0,2939.0
ACC,2005.0,,,,,,,,,,,,,,,,,,,,,,,
ACC,2006.0,,,,,,,,,,,,,,,,,,,,,,,
ACC,2007.0,,,,,,,,,,,,,,,,,,,,,,,
ACC,2008.0,148758327790.0,,148758327790.0,119290464983.0,29467862807.0,65807220.0,,,,,2007105842.0,27526564185.0,1315996818.0,1226971475.0,89025343.0,27615589528.0,6572546145.0,,21043043383.0,21043043383.0,,3507.0,
ACC,2009.0,274968258359.0,,274968258359.0,208318481283.0,66649777076.0,703828536.0,1744211134.0,1744211134.0,,1838730395.0,6175954140.0,55301736690.0,2083991649.0,369230619.0,1714761030.0,57016497720.0,573828320.0,,56442669400.0,56442669400.0,,9407.0,
ACC,2010.0,316759881340.0,315488726.0,316444392614.0,244022691262.0,72421701352.0,1359407263.0,2124822440.0,2124822440.0,,5587525527.0,7363672473.0,58705088175.0,4165292.0,5335738.0,-1170446.0,58703917729.0,423046113.0,,58280871616.0,58280871616.0,,9505.0,
ACC,2011.0,336370374295.0,34927681.0,336335446614.0,260040004674.0,76295441940.0,3192196782.0,5020654.0,5020654.0,,7025180198.0,9912509331.0,62544928539.0,80372.0,5411011.0,-5330639.0,62539597900.0,1112815608.0,,61426782292.0,61426782292.0,,6143.0,
ACC,2012.0,377423309351.0,1954800.0,377421354551.0,295994754389.0,81426600162.0,3843413146.0,,,,8220950861.0,11578278680.0,65470783767.0,155320235.0,82325.0,155237910.0,65626021677.0,4223436596.0,,61402585081.0,61402585081.0,,6140.0,
ACC,2013.0,361173632698.0,123195830.0,361050436868.0,306494149593.0,54556287275.0,2107845895.0,,,,7092910611.0,12198954926.0,37372267633.0,975671178.0,235686535.0,739984643.0,38112252276.0,3835733336.0,,34276518940.0,34276518940.0,,3428.0,
ACC,2014.0,344305826139.0,31394700.0,344274431439.0,281236288894.0,63038142545.0,6171278087.0,10233820.0,10233820.0,,11850529633.0,14106668339.0,43241988840.0,1930580477.0,1152153487.0,778426990.0,44020415830.0,4434326714.0,283692602.0,39302396514.0,37958777261.0,,3796.0,
ACC,2015.0,,,,,,,,,,,,,,,,,,,,,,,
ACC,2016.0,402005457543.0,14280900.0,401991176643.0,301217495465.0,100773681178.0,859039628.0,4152632461.0,1049867921.0,,20059389843.0,23794524392.0,53626174110.0,874006256.0,237600599.0,636405657.0,54262579767.0,8749917963.0,42081657.0,45470580147.0,41908819774.0,3561760373.0,3451.0,3451.0
ACC,2017.0,276653459198.0,450788300.0,276202670898.0,215056016417.0,61146654481.0,824379537.0,-1549263650.0,1024077688.0,,9567338104.0,22733057585.0,31219901979.0,2367234732.0,280371918.0,2086862814.0,33306764793.0,6903334315.0,,26403430478.0,24159094995.0,2244335483.0,1980.0,1980.0
